SLID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,main_spatial_layer,spatial_layer,Cell_type_composition,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
SL057,human,brain,Pituitary,Brain cancer,Pituitary neuroendocrine tumors,Pituitary neuroendocrine tumors (PitNETs),Cell co-localization,Interaction Between CX3CR1+ Macrophages and NR5A1+ Tumor Cells,"CX3CR1+ Macrophages, NR5A1+ Tumor Cells",38658971,Single-cell transcriptomics reveal distinct immune-infiltrating phenotypes and macrophage–tumor interaction axes among different lineages of pituitary neuroendocrine tumors,Genome Medicine,2024,"single cell RNA, Spatial transcriptomics","NA, Cell apoptosis",Biological phenotype,Others,Apoptosis,clinical samples,"co-culture, Cell apoptosis","AD10, Dojindo",cell,"The results demonstrated that CX3CR1+, C1Q+, and GPNMB+ macrophages exhibited the highest interaction with NR5A1+, TBX19+, and POU1F1+ tumor cells, respectively (Fig. 5A).
We found that CX3CR1+ macrophages regulated NR5A1+ tumor cells through regulation of signaling receptor pathway and TGF-β stimulus (Fig.5D)
Notably, CX3CR1+ macrophages enriched NR5A1+ tumor cells and INHBA-ACVR1B were locationalized closely in the spatial transcriptome of SF1 lineage tissue (Fig. 6B–D and Additional fle1: Fig. S10A)
To confirm the role of INHBA on the CX3CR1+ macrophages NR5A1+ tumor cells interaction axis, we treated primary cells and PitNET cell lines with INHBA.
We found that INHBA inhibited cell viability in SF1 lineage primary cells (Fig. 6H) and induced apoptosis (Fig. 6I). "
SL058,human,skin,skin,Melanoma,Melanoma,melanoma,Spatial niche,immune hot TMEs," strong infiltration of CD4+ T, B cells, HLA-DR+CD11c+ myeloid-derived cells, CD8+ T cells ",36281356,Multiplexed imaging mass cytometry reveals distinct tumor-immune microenvironments linked to immunotherapy responses in melanoma,communications medicine,2022,"imc,bulk RNA-seq",unknow,Clinical phenotype,Drug Response,anti-PD-1 respond,clinical samples,imc,unknow,protein,"Overall, by dividing the clustering results into hot and cold categories, this clustering achieved a classification accuracy of 79.3% (46 out of 58 responder ROIs classified as immune hot) for responders and 95.1% (39 out of 41 nonresponder ROIs classified as immune cold) for nonresponders on the ROI level (Fig. 4b). Analysis further revealed that ROIs from a same patient were in most cases 
highly homogeneous: most patients had ROIs from only one or two archetypes of the same immune hot or cold category (Fig. 4b). Kaplan–Meier analysis revealed better overall survival (OS, P = 0.0093) and progression-free survival (PFS, P = 0.06) in patients defined as immune hot (Fig. 4e)."
SL059,human,skin,skin,Melanoma,Melanoma,melanoma,Spatial niche,immune cold TMEs,"CAIX+ tumor cells, HLA-DR-CAIX+ myeloid-derived cells",36281356,Multiplexed imaging mass cytometry reveals distinct tumor-immune microenvironments linked to immunotherapy responses in melanoma,communications medicine,2022,"imc,bulk RNA-seq",unknow,Clinical phenotype,Drug Response,anti-PD-1 no respond,clinical samples,imc,unknow,protein,"Overall, by dividing the clustering results into hot and cold categories, this clustering achieved a classification accuracy of 79.3% (46 out of 58 responder ROIs classified as immune hot) for responders and 95.1% (39 out of 41 nonresponder ROIs classified as immune cold) for nonresponders on the ROI level (Fig. 4b). Analysis further revealed that ROIs from a same patient were in most cases 
highly homogeneous: most patients had ROIs from only one or two archetypes of the same immune hot or cold category (Fig. 4b). Kaplan–Meier analysis revealed better overall survival (OS, P = 0.0093) and progression-free survival (PFS, P = 0.06) in patients defined as immune hot (Fig. 4e)."
SL060,human,skin,skin,Melanoma,Melanoma,Melanoma,Spatial niche,immune-striving tumor microenvironment,"T cells, B cells, melanoma subclones (MITF+SPARCL1+ and CENPF+)",38944836,Single-cell spatial multiomics reveals tumor microenvironment vulnerabilities in cancer resistance to immunotherapy,cell rReeports,2024,CITE-seq;scRNA;Immunohistochemistry,BioLegend;10X Genomics,Clinical phenotype,Drug Response,Resistant,clinical samples,CITE-seq;scRNA;Immunohistochemistry,BioLegend;10X Genomics,protein,"With longitudinal analysis, we identified an ‘‘immune-striving’’ tumor microenvironment
marked by peri-tumor lymphoid aggregates and low infiltration of T cells in the tumor and the emergence of MITF+ SPARCL1+ and CENPF+ melanoma subclones after therapy."
SL061,human,skin,skin,Others,Mycosis fungoides,Mycosis fungoides (MF),Cell co-localization,co-localization of CD4+ T cells with both CD1a+CD1c+ and CD1a- CD1c+ DCs in cellular aggregates just below the epidermis,"CD4+ T cells, CD1a+CD1c+ DCs, CD1a- CD1c+ DCs",35406628,Mass Cytometric Analysis of Early-Stage Mycosis Fungoides,cell,2022,imaging mass cytometry,unknow,Biological phenotype,Tumor Growth,Tumor growth,clinical samples,imaging mass cytometry,unknow,protein,"We observed clusters of CD4+ T cells and multiple types of dendritic cells (DCs) identified through differential expression of CD11c, CD1a, and CD1c in the dermis. These results indicated substantial heterogeneity in the composition of the local immune infiltrate but suggest a prominent role for clustered CD4–DC interactions in disease pathogenesis. Probably, the local inhibition of such interactions may constitute an efficient treatment modality.
In addition, substantial numbers of CD4+ T cells co-localized with both CD1a+CD1c+HLA-DR+ and CD1a-CD1c+HLA-DR+ DCs in the dermis in situ. In this respect it is striking that the dominant presence of particular CD4+ T-cell clusters coincided with an elevated number of phenotypically distinct myeloid cells in some of the patients, suggesting that interactions between these CD4+ T cells and myeloid cells may play a prominent role in disease control."
SL062,human,skin,skin,Melanoma,Melanoma,melanoma,Cellular neighbourhoods,CD8+ cells and DC1 clustering,CD8+ T cells and DC1,38656869,Batf3(+) DCs and the 4-1BB 4-1BBL axis are required at the effector phase in the tumor microenvironment for PD-1 PD-L1 blockade efficacy,Cell reports,2024,Spatial transcriptome,10x Genomics,Clinical phenotype,Drug Response,Response to PD-1/PD-L1 blokade,clinical samples,Flow cytometry staining,mouse model,clinical samples,"Strikingly, patients with melanoma with higher K function AUC values had a significantly higher objective response rate than patients with lower AUC values (66.7% vs. 31.25%, p= 0.0393; Figure 5H), demonstrating the relevance of CD8+ cells and Batf3+ clustering for PD-1 blockade efficacy.
these results suggest that Batf3+ DCs are needed at the effector phase for anti-PD-L1 efficacy because of the positive signals that these cells provide to the Ag-specific CD8+ T cells through the 4–1BB/4–1BBL axis,"
SL063,human,"skin, lymph nodes (LNs)","skin, lymph nodes (LNs)",Melanoma,Melanoma,metastatic melanoma,Spatial niche, CXCL9 and CXCL10 milieus,"CXCL9/CXCL10-expressing cells, CD8+ T cells, Macrophages",35363540,Multiplexed imaging mass cytometry of the chemokine milieus in melanoma characterizes features of the response to immunotherapy,SCIENCE IMMUNOLOGY,2022,imaging mass cytometry,unknow,Biological phenotype,Immune Suppression,T cell dysfunction,clinical samples,imaging mass cytometry,unknow,RNA and Protein,"CXCL9 and CXCL10 were often localized in patches associated with dysfunctional T cells expressing the B lymphocyte chemoattractant CXCL13.
Comparing the frequencies of all individual chemokine-expressing cells across images revealed co-expression of the inflammatory response chemokines CXCL9, CXCL10, CCL4, and CXCL13 (fig. S8B).
CXCL9 and CXCL10 milieus were the most abundant, with close to half of all CXCL9-expressing cells and more than a third of all CXCL10-expressing cells being present in milieus. Markers for T cell exhaustion (Lag-3) and antigen experience (CCL4 and CXCL13) were particularly highly expressed in CXCL10 and CXCL9 milieus in comparison to other milieus, suggesting that they may represent hotspots of ongoing antitumor activity (Fig. 3D).
These CXCL9 and CXCL10 milieus exhibited high expression of markers of T cell dysfunction and exhaustion."
SL064,human,"skin, lymph nodes (LNs)","skin, lymph nodes (LNs)",Melanoma,Melanoma,metastatic melanoma,Spatial niche,B cell follicles,"CXCL13+ CD8+ T cells, B cells, Follicular dendritic cells (HLA-DR+),TCF7+ naïve-like T cells",35363540,Multiplexed imaging mass cytometry of the chemokine milieus in melanoma characterizes features of the response to immunotherapy,SCIENCE IMMUNOLOGY,2022,imaging mass cytometry,unknow,Biological phenotype,Drug Response,Responsive,clinical samples,imaging mass cytometry,unknow,RNA and Protein,"Of note, because many of our samples were from LN metastases, we referred to structures that resemble B cell follicles or TLS within tumors as B cell follicles.
Our analysis revealed that in images with B cells, but no B cell follicles, the sole sources of CXCL13 were T cells, and the highest fractions of CXCL13+ /HLA-DR+ /CD68− cells (likely follicular dendritic cells between densely packed HLA-DR+ B cells, thus appearing as HLA-DR+) were observed in images with B cell follicles (Fig. 5D).
In agreement, TCF7+ T cell frequencies steadily increased in images ordered from those with no B cells to those with B cell follicles for both CD8+ T cells and CD4+ T cells with or without PD1 expression (Fig. 5F).
B cell patches and follicles were also enriched with TCF7+ naïve-like T cells, a cell type that is predictive of response to immune checkpoint blockade."
SL065,human,"skin,lymph","skin,lymph node",Melanoma,Melanoma,"benign nevi, primary 
melanomas, and lymph node metastases",Cell co-localization,the contact frequency between antigen-experienced cytotoxic T cells and melanoma cells,Antigen-experienced cytotoxic T cells (CD8+CD45RO+Ki67+) and melanoma cells,35363543,Spatially mapping the immune landscape of melanoma using imaging mass cytometry,SCIENCE IMMUNOLOGY,2022,"CyTOF 
IMC",unknow,Clinical phenotype,Drug Response,positive response to ICIs,clinical samples,"CyTOF 
IMC",unknow,protein,"the proximity of antigen-experienced cytotoxic T cells to melanoma cells were associated 
with positive response to ICIs.
We observed that antigen-experienced T cells were located significantly closer to melanoma cells in pretreatment tumors from ICI responders compared with nonresponders (P = 0.025) (Fig. 5F, left)."
SL066,human,stomach,stomach,Gastric cancer,Gastric cancer,gastric cancer,Spatial niche,“tumor-normal interface” region,"Plasma B cell, Follicular B cell, Th2-like CD4+ T cells",37164975,Spatially resolved multi-omics highlights cell-specific metabolic remodeling and interactions in gastric cancer,Nature Communications,2023,spatial transcriptome,10×Genomics,Biological phenotype,Tumor Invasion,tumor cell invasion and progression,clinical samples,Immunohistochemical,unknow,protein,"Significantly, when we projected the cluster assignments back onto tissue section coordinates, we discovered a distinct “interface” cluster (cluster 9) at the junction of tumor and neighboring tissues (Fig. 6b).
An immune cell-dominated “tumor-normal interface” region where tumor cells contact adjacent tissues are characterized with distinct transcriptional signatures and significant immunometabolic alterations.
Most notably, although only very few amounts of tumor-infiltrating immune cells were identified in tumor tissue, we discovered that “interface” cluster 9 exhibits significant immune and inflammation-related signatures with plenty of plasma B cell, follicular B cell, and Th2-like CD4 + T cells.
Immunohistochemical staining of CD 20 and CD 38 on adjacent cancer sections were coincident with the defined plasma B cell- and follicular B cell-enriched cluster 9 region (Supplementary Fig. 42). Located at tumor boundary where the tumor contacts neighboring tissues, the immune and inflammation-related cluster 9 is believed to be important for tumor cell invasion and progression."
SL067,Human,Thyroid,Thyroid,Thyroid cancer,Papillary thyroid carcinoma,Papillary thyroid carcinoma,Spatial niche,Recruitment of LAMP3+ DCs by tumor cells promotes CD8+ T-cell exhaustion and Treg cell infiltration,"LAMP3+ DC, CD8+ T cell, Treg",38816233, Interactions between LAMP3+ dendritic cells and T-cell subpopulations promote immune evasion in papillary thyroid carcinoma,J Immunother Cancer,2024,Spatial transcriptome,10× Genomics,Clinical phenotype,Tumor Growth,Progression,clinical samples,"mIHC, Immunohistochemistry ","Absin, Cell Signaling Technology",protein,"In general, the recruitment of LAMP3+ DCs by tumor cells through NECTIN3-NECTIN2 promotes CD8+ T-cell exhaustion and Treg cell infiltration, creating an immunosuppressive microenvironment. This ultimately leads to the clinical progression of PTC.
We confirmed the recruitment of LAMP3+ DCs (CCL17) on FOXP3_Treg (CCR4) using multiplex fluorescence assay in tissue specimens
Subsequently, we performed multiplex fluorescence staining using samples from non-progressive PTC and progressive PTC to validate our analysis results (figure 7G, online supplemental file 7). In Group B tumors, LAMP3+ DCs closely neighbored KRT19+ tumor cells, with a high degree of colocalization of LAMP3 with NECTIN2, KRT19, and NECTIN3, respectively, in sequence."
SL068,human,thyroid,thyroid,Thyroid cancer,Papillary thyroid cancer,papillary thyroid cancer,Cell co-localization,interaction between LAMP3+DCs and T-cell subpopulations,"LAMP3+ dendritic cells, Tregs (regulatory T cells), CD8+ T cells",38816233,Interactions between LAMP3+ dendritic cells and T-cell subpopulations promote immune evasion in papillary thyroid carcinoma,Journal for Immuno Therapy of Cancer,2024,Spatial transcriptomics,10x Genomics,Biological phenotype,Immune Suppression,immunosuppressive,clinical samples,multiplex immunohistochemistry (mIHC),Absin,Protein,"Mapping LAMP3+ DC to spatial slices reveals its concentration in the tumor, with progressive PTC exhibiting a higher enrichment ratio that closely overlaps with the spatial distribution of T cells. This suggests a closer interaction between LAMP3+ DC and T cells in progressive PTC (figure 5H). In addition, spatial transcriptomics analysis showed higher immune tolerance scores in progressive PTC, with spots exhibiting higher tolerance scores aligning with T-cell distribution (figure 5I).
we found extensive cellular interactions involving LAMP3+ DCs, Treg cells, and CD8+ T cells, facilitated by inhibitory (NECTIN2-TIGIT, LAG3-HAVCR2) or costimulatory (ICOSL-ICOS and CD80/86-CD28) molecules, and chemokines (CXCL16-CXCR6 and CCL17-CCR4) (figure 6A).
Through multiplex immunofluorescence staining, we observed the colocalization of LAMP3-expressing DCs (identified by NECTIN2+) and CD8-expressing CD8+ T cells (identified by TIGIT+) in progressive PTC (figure 6E), which indicated the potential role of LAMP3+ DCs in inducing exhaustion in the recruitment of CD8+ T cells in progressive PTC.
We confirmed the recruitment of LAMP3+ DCs (CCL17) on FOXP3_Treg (CCR4) using multiplex fluorescence assay in tissue specimens (figure 6E) .
Extensive interactions between LAMP3+ DCs and T cells in PTC were found, suggesting that LAMP3+ DCs and T cells work together to shape the immunosuppressive microenvironment in progressive PTC, characterized by high infiltration of exhausted T cells and Treg cells. "
SL069,human,thyroid,thyroid,Thyroid cancer,Papillary thyroid cancer,papillary thyroid cancer,Spatial niche,recruitment of LAMP3+ DCs by tumor cells,"Tumor cells, LAMP3+ DCs",38816233,Interactions between LAMP3+ dendritic cells and T-cell subpopulations promote immune evasion in papillary thyroid carcinoma,Journal for Immuno Therapy of Cancer,2024,single cell RNA,10x Genomics,Biological phenotype,Tumor Growth,Tumor Progression,clinical samples,multiplex immunohistochemistry (mIHC),Absin,Protein,"Group A tumor cells display a more substantial recruitment effect on these cell types. Conversely, when LAMP3+ DCs acted as the signal recipient, Group B tumor cells demonstrated a significantly enhanced recruitment effect on LAMP3+ DCs (figure 7D). Furthermore, the interaction mediated by NECTIN3-NECTIN2, known to promote lymphocyte transendothelial migration, was notably strengthened between tumor cells and LAMP3+ DCs in this context42 (figure 7E,F). This finding suggests that Group B tumor cells have a greater tendency to recruit LAMP3+ DCs conducive to establishing an immunosuppressive microenvironment.
Subsequently, we performed multiplex fluorescence staining using samples from non-progressive PTC and progressive PTC to validate our analysis results (figure 7G, online supplemental file 7). In Group B tumors, LAMP3+ DCs closely neighbored KRT19+ tumor cells, with a high degree of colocalization of LAMP3 with NECTIN2, KRT19, and NECTIN3, respectively, in sequence. In contrast, in Group A tumors, LAMP3+ DCs were more distant from KRT19+ tumor cells, and NECTIN2 was also expressed on other cell surfaces (such as tumor cells). In Group A, the colocalization of KRT19 with NECTIN3 was insignificant, aligning with our single-cell analysis results. The low expression level of NECTIN3 in non-progressive PTC tumor cells suggested that these tumor cells struggled to retain DCs in the TME through adhesive interaction mediated by NECTIN3-NECTIN2 (figure 7H). "
SL070,human,Tonsils,Tonsils,Others,Diffuse large B-cell lymphoma,"chronic tonsillitis, reactive lymph nodes (n = 2), and DLBCL",Spatial niche,"Spatial clustering of MYC, BCL2, and BCL6 subpopulations",MYC+ BCL2+ BCL6- cells,37071673,Patterns of Oncogene Coexpression at Single-Cell Resolution Influence Survival in Lymphoma,CANCER DISCOVERY,2023, mfIHC,unknow,Clinical phenotype,Overall Survival,Shorter survival,clinical samples, mfIHC,unknow,protein," Despite expected variability between cohorts in the prognostic impact of MYC, BCL2, and BCL6 as individual oncogenes (14), the percentage ofM+2+6−  cells stood out as a consistently poor prognostic variable (Fig.  2A).
 Higher M+2+6-percentage remained statistically significant for poor OS in a multivariate Cox PH model adjusted for clinically relevant DLBCL clinicopathologic parameters of IPI Risk Group and MYC fluorescence in situ hybridization(FISH) status (Table  1; Supplementary Table  S5)."
SL071,Human,Pancancer,Pancancer,Others,Pancancer,Pancancer,Cellular neighbourhoods,Tumor boundary with hypoxia-induced ALCAMhigh macrophages,"ALCAMhigh macrophages, Cancer cell",38956900,Identification of Hypoxia-ALCAMhigh Macrophage- Exhausted T Cell Axis in Tumor Microenvironment Remodeling for Immunotherapy Resistance,Adv Sci,2024,Spatial transcriptome,10X Genomics,Biological phenotype,Immune Suppression,Immunosuppression,mouse model,"Immunohistochemistry, Flow cytometry",Cell Signaling Technology,protein,"The hypoxia status around the tumor boundary recruits ALCAMhigh macrophages. ...our analysis indicated a predominant infiltration of macrophages in the tumor boundary compared to both malignant and non-malignant regions in most ST slides. This result suggests that macrophage enriched in the tumor boundary is an important characteristic in TME among cancer types.
Further, the mIHC analysis showed that HIF1LNA significantly reduced HIF1 α expression, ALCAM expression, and the infiltration of macrophages and TIM3+ CD8+ T cells, and the combination treatment enhanced this efficacy"
SL072,Human,Pancancer,Pancancer,Others,Pancancer,Pancancer,Cell co-localization,Tex cells co-localized to ALCAMhigh macrophages,"Tex cells, ALCAMhigh macrophages",38956900,Identification of Hypoxia-ALCAMhigh Macrophage- Exhausted T Cell Axis in Tumor Microenvironment Remodeling for Immunotherapy Resistance,Adv Sci,2024,Spatial transcriptome,10X Genomics,Biological phenotype,Immune Suppression,T cell exhaustion,cell line,CellTrace labeling and dilution assay ,Beckman Coulter,cell ,"Further, Tex cells co-localized to ALCAMhigh macrophages showed significantly higher exhaustion scores than those far away from ALCAMhigh macrophages (Figure 5g), suggesting that the colocalization of ALCAMhigh macrophages and Tex may be associated with the exhaustion of T cells
Next, we examined the proliferative ability of the T cells co-cultured with ALCAMhigh or ALCAMlow macrophages using the CellTrace labelling and dilution assay and found that T cells co-cultured with ALCAMhigh macrophages proliferated much less than with ALCAMlow macrophages (Figure 6h,i)"
SL073,human,Pancancer,Pancancer,Others,Pancancer,Pancancer,Cell co-localization,ALCAMhigh macrophages co-localize with exhausted CD8+ T cells,"ALCAMhigh macrophages, exhausted CD8+ T cells",38956900,Identification of Hypoxia-ALCAMhigh Macrophage-Exhausted T Cell Axis in Tumor Microenvironment Remodeling for Immunotherapy Resistance,Advanced Science,2023,spatial transcriptomic,"10X genomics; https://support.10xgenomics.
com spatial-gene-expression/datasets",Clinical phenotype,Drug Response,immunotherapy resistance,"clinical samples,mouse model","co-culture, mouse model","Biolegend, NA",mouse,"We found that a high proportion of spots with Tex infiltration are co-localized with ALCAMhigh macrophages (Figure 5e,f; Figure S8d,e, Sup porting Information).
Tex co-localized to ALCAMhigh macrophages showed significantly higher exhaustion scores than
those far away from ALCAMhigh macrophages (Figure 5g), Tex showed high cell interaction with hypoxiahigh macrophages or ALCAMhigh macrophages but not hypoxialow macrophages or ALCAMlow macrophages (Figure 5h,i; Figure S8f, Supporting Information), suggesting that the colocalization of ALCAMhigh macrophages and Tex may be associated with the exhaustion of T cells
Cell-to-cell interaction analysis showed strong interaction among hypoxiahigh or ALCAMhigh macrophages, Tex cells, and malignant cells (Figure 5h,i; Figure S8g, Supporting Information).
To verify the function of ALCAMhigh macrophages, we isolated ALCAMhigh and ALCAMlow macrophages from human and mouse tumor tissues and then co-cultured them with CD8 T-cells. We found that compared to ALCAMlow macrophages, ALCAMhigh macrophages increased the expression of CD8 T-cell exhaustion genes PD-1 and Lag3 (Figure 6f,g; Figure S9a,b, Supporting Information).
Taken together, the combination of HIF1 LNA and ICB demonstrated significant reduction in ALCAMhigh macrophages and exhaustion CD8+ T cells, and improvement in tumor burden, survival rate, and cytolytic activity. "
SL074,human,Pancancer,Pancancer,Others,Pancancer,Pancancer,Cell co-localization,interactions between pathogenic CD4+ T cells and Arg1-positive myeloid cells,pathogenic CD4+ T cells，Arg1-positive myeloid cells,34301764,Neuroblastoma Formation Requires Unconventional CD4 T Cells and Arginase-1–Dependent Myeloid Cells,Tumor biology and immunology,2021,IHC,unknow,Biological phenotype,Tumor Growth,Tumor growth,"clinical samples, mouse model","Mouse model, Flow cytometry","BD LSRFortessa X-20 and
Cytek Aurora spectral flow cytometer","protein, mouse","these results demonstrate how arginine-metabolizing myeloid cells conspire with pathogenic CD4+ T cells to create permissive conditions for tumor formation, suggesting that these protumorigenic pathways could be disabled by targeting myeloid arginine metabolism.
Similarly, IHC analysis of human neuroblastoma revealed Arg1 expression only in interspersed myeloid-like cells that overlapped partly with CD68 and CD163 staining (Supplementary Fig. 5C).
Our data thus far demonstrated spatial relationships between resident CCR2-dependent myeloid cells and non–antigen-specific CD4+ cells, and that both populations were required for tumor formation.
Compared to cells in nutritionally complete conditions, arginine-starved CD4+ cells exhibited increased expression of a suite of mRNAs encoding proteins associated with regulatory activity, including PD-L1, CD30L (Tnfsf8), RANKL (Tnfsf11), TROY (Tnfrsf19), and IL2, in addition to Foxp3 (Fig. 5F). "
SL075,human,Pancancer,Pancancer,Others,Pancancer,Pancancer,Spatial niche,Interferon-Enriched Community,"XCL9+ macrophages, LAMP3+ DCs, mesenchymal-derived interferon states",38744958,Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types,nature communications,2024,Spatial transcriptomics,unknow,Biological phenotype,Drug Response,Responsive (favorable immunotherapy response),clinical samples,RNA smFISH,RNAscope® Multiplex Fluorescent Reagent Kit Assay,Protein,"Remarkably, one tumor ecosystem was distinctly occupied by interferon states from various cell types within the tumor (interferon-enriched community; Fig. 5A).
Interestingly, the vicinity of LAMP3+ DC with other immune cell states included in the interferon-enriched community (DC1, pDC, Langerhans cell, and Tfh) was identified in the adjacent normal network (Fig. 5C), implying that distinct configurations of cellular ecosystems even exist within the adjacent normal tissues compared to healthy normal tissues.
Among the cell states favorable for immunotherapy, we confirmed the presence of interferon-expressing mesenchymal cells (CXCL10 and PDGFRA) in the HNSC tissue sample using RNA smFISH (Supplementary Fig. S16).
Diverse components of the interferon-enriched community including LAMP3+ DC, CCL19+ fibroblast, CXCL9+ macrophage, and mesenchymal-derived interferon states confer favorable responses to immunotherapy and form different ecosystems between tumor, adjacent normal, and healthy normal tissues. "
